outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2008-09,Alabama,0.050391,0.041515,0.061044
Marijuana Use in the Past Month,12 or Older,2008-09,Alaska,0.115168,0.097479,0.135586
Marijuana Use in the Past Month,12 or Older,2008-09,Arizona,0.066983,0.054088,0.082682
Marijuana Use in the Past Month,12 or Older,2008-09,Arkansas,0.061109,0.05031,0.074047
Marijuana Use in the Past Month,12 or Older,2008-09,California,0.076748,0.06939,0.084815
Marijuana Use in the Past Month,12 or Older,2008-09,Colorado,0.097656,0.081507,0.116598
Marijuana Use in the Past Month,12 or Older,2008-09,Connecticut,0.072593,0.059912,0.087708
Marijuana Use in the Past Month,12 or Older,2008-09,Delaware,0.069746,0.057818,0.083917
Marijuana Use in the Past Month,12 or Older,2008-09,District of Columbia,0.084637,0.070742,0.100965
Marijuana Use in the Past Month,12 or Older,2008-09,Florida,0.058015,0.051297,0.065552
Marijuana Use in the Past Month,12 or Older,2008-09,Georgia,0.060567,0.049719,0.073599
Marijuana Use in the Past Month,12 or Older,2008-09,Hawaii,0.084645,0.069081,0.103326
Marijuana Use in the Past Month,12 or Older,2008-09,Idaho,0.058869,0.048322,0.071545
Marijuana Use in the Past Month,12 or Older,2008-09,Illinois,0.059101,0.053146,0.065678
Marijuana Use in the Past Month,12 or Older,2008-09,Indiana,0.060802,0.05029,0.073341
Marijuana Use in the Past Month,12 or Older,2008-09,Iowa,0.04484,0.036372,0.055167
Marijuana Use in the Past Month,12 or Older,2008-09,Kansas,0.050182,0.040183,0.062507
Marijuana Use in the Past Month,12 or Older,2008-09,Kentucky,0.048068,0.038879,0.059294
Marijuana Use in the Past Month,12 or Older,2008-09,Louisiana,0.051424,0.041915,0.062949
Marijuana Use in the Past Month,12 or Older,2008-09,Maine,0.098116,0.082375,0.116484
Marijuana Use in the Past Month,12 or Older,2008-09,Maryland,0.05655,0.045338,0.070332
Marijuana Use in the Past Month,12 or Older,2008-09,Massachusetts,0.087362,0.074065,0.102781
Marijuana Use in the Past Month,12 or Older,2008-09,Michigan,0.075189,0.067967,0.083109
Marijuana Use in the Past Month,12 or Older,2008-09,Minnesota,0.059788,0.049032,0.072723
Marijuana Use in the Past Month,12 or Older,2008-09,Mississippi,0.045363,0.036284,0.056581
Marijuana Use in the Past Month,12 or Older,2008-09,Missouri,0.059366,0.048405,0.072619
Marijuana Use in the Past Month,12 or Older,2008-09,Montana,0.081226,0.068018,0.096734
Marijuana Use in the Past Month,12 or Older,2008-09,Nebraska,0.053633,0.044121,0.065057
Marijuana Use in the Past Month,12 or Older,2008-09,Nevada,0.069962,0.057297,0.085172
Marijuana Use in the Past Month,12 or Older,2008-09,New Hampshire,0.096156,0.081622,0.112959
Marijuana Use in the Past Month,12 or Older,2008-09,New Jersey,0.050403,0.041228,0.061488
Marijuana Use in the Past Month,12 or Older,2008-09,New Mexico,0.06541,0.053688,0.079475
Marijuana Use in the Past Month,12 or Older,2008-09,New York,0.077259,0.070112,0.085068
Marijuana Use in the Past Month,12 or Older,2008-09,North Carolina,0.063024,0.051838,0.076429
Marijuana Use in the Past Month,12 or Older,2008-09,North Dakota,0.046747,0.037742,0.057771
Marijuana Use in the Past Month,12 or Older,2008-09,Ohio,0.059573,0.053568,0.066204
Marijuana Use in the Past Month,12 or Older,2008-09,Oklahoma,0.056031,0.04453,0.070283
Marijuana Use in the Past Month,12 or Older,2008-09,Oregon,0.092931,0.07799,0.110392
Marijuana Use in the Past Month,12 or Older,2008-09,Pennsylvania,0.058135,0.051891,0.065079
Marijuana Use in the Past Month,12 or Older,2008-09,Rhode Island,0.100366,0.084505,0.118818
Marijuana Use in the Past Month,12 or Older,2008-09,South Carolina,0.059112,0.048077,0.072487
Marijuana Use in the Past Month,12 or Older,2008-09,South Dakota,0.05142,0.041731,0.06321
Marijuana Use in the Past Month,12 or Older,2008-09,Tennessee,0.054184,0.044443,0.065914
Marijuana Use in the Past Month,12 or Older,2008-09,Texas,0.047421,0.042451,0.052942
Marijuana Use in the Past Month,12 or Older,2008-09,Utah,0.036035,0.028351,0.045704
Marijuana Use in the Past Month,12 or Older,2008-09,Vermont,0.108475,0.092554,0.126753
Marijuana Use in the Past Month,12 or Older,2008-09,Virginia,0.053335,0.043467,0.065291
Marijuana Use in the Past Month,12 or Older,2008-09,Washington,0.072062,0.059226,0.087421
Marijuana Use in the Past Month,12 or Older,2008-09,West Virginia,0.054965,0.045155,0.066756
Marijuana Use in the Past Month,12 or Older,2008-09,Wisconsin,0.061935,0.051277,0.074634
Marijuana Use in the Past Month,12 or Older,2008-09,Wyoming,0.05419,0.04437,0.066032
Marijuana Use in the Past Month,12 or Older,2009-10,Alabama,0.049392,0.039913,0.06098
Marijuana Use in the Past Month,12 or Older,2009-10,Alaska,0.118425,0.098929,0.141161
Marijuana Use in the Past Month,12 or Older,2009-10,Arizona,0.065164,0.052531,0.080575
Marijuana Use in the Past Month,12 or Older,2009-10,Arkansas,0.054657,0.044262,0.067321
Marijuana Use in the Past Month,12 or Older,2009-10,California,0.082337,0.074647,0.090741
Marijuana Use in the Past Month,12 or Older,2009-10,Colorado,0.112892,0.095472,0.133023
Marijuana Use in the Past Month,12 or Older,2009-10,Connecticut,0.076873,0.06375,0.092432
Marijuana Use in the Past Month,12 or Older,2009-10,Delaware,0.069787,0.057519,0.084436
Marijuana Use in the Past Month,12 or Older,2009-10,District of Columbia,0.10038,0.084674,0.118623
Marijuana Use in the Past Month,12 or Older,2009-10,Florida,0.060971,0.05445,0.068216
Marijuana Use in the Past Month,12 or Older,2009-10,Georgia,0.054974,0.044576,0.067625
Marijuana Use in the Past Month,12 or Older,2009-10,Hawaii,0.078773,0.063721,0.097011
Marijuana Use in the Past Month,12 or Older,2009-10,Idaho,0.072854,0.059627,0.088739
Marijuana Use in the Past Month,12 or Older,2009-10,Illinois,0.064983,0.059087,0.071422
Marijuana Use in the Past Month,12 or Older,2009-10,Indiana,0.06095,0.050518,0.073371
Marijuana Use in the Past Month,12 or Older,2009-10,Iowa,0.049221,0.039945,0.060515
Marijuana Use in the Past Month,12 or Older,2009-10,Kansas,0.053296,0.043304,0.065437
Marijuana Use in the Past Month,12 or Older,2009-10,Kentucky,0.045782,0.037038,0.056469
Marijuana Use in the Past Month,12 or Older,2009-10,Louisiana,0.051925,0.042378,0.06348
Marijuana Use in the Past Month,12 or Older,2009-10,Maine,0.097692,0.081663,0.116468
Marijuana Use in the Past Month,12 or Older,2009-10,Maryland,0.061113,0.049805,0.074786
Marijuana Use in the Past Month,12 or Older,2009-10,Massachusetts,0.101082,0.087042,0.117098
Marijuana Use in the Past Month,12 or Older,2009-10,Michigan,0.084274,0.076388,0.092891
Marijuana Use in the Past Month,12 or Older,2009-10,Minnesota,0.059284,0.048723,0.071962
Marijuana Use in the Past Month,12 or Older,2009-10,Mississippi,0.04693,0.037767,0.05818
Marijuana Use in the Past Month,12 or Older,2009-10,Missouri,0.061286,0.049977,0.074951
Marijuana Use in the Past Month,12 or Older,2009-10,Montana,0.092354,0.078048,0.108971
Marijuana Use in the Past Month,12 or Older,2009-10,Nebraska,0.05877,0.048299,0.071342
Marijuana Use in the Past Month,12 or Older,2009-10,Nevada,0.070131,0.057453,0.085353
Marijuana Use in the Past Month,12 or Older,2009-10,New Hampshire,0.099637,0.083763,0.118133
Marijuana Use in the Past Month,12 or Older,2009-10,New Jersey,0.056638,0.046654,0.068605
Marijuana Use in the Past Month,12 or Older,2009-10,New Mexico,0.077266,0.064047,0.092943
Marijuana Use in the Past Month,12 or Older,2009-10,New York,0.077462,0.070209,0.085396
Marijuana Use in the Past Month,12 or Older,2009-10,North Carolina,0.070691,0.058402,0.08533
Marijuana Use in the Past Month,12 or Older,2009-10,North Dakota,0.040957,0.032971,0.050775
Marijuana Use in the Past Month,12 or Older,2009-10,Ohio,0.060254,0.05445,0.066633
Marijuana Use in the Past Month,12 or Older,2009-10,Oklahoma,0.069026,0.055725,0.085216
Marijuana Use in the Past Month,12 or Older,2009-10,Oregon,0.102143,0.08585,0.121118
Marijuana Use in the Past Month,12 or Older,2009-10,Pennsylvania,0.061681,0.055271,0.068779
Marijuana Use in the Past Month,12 or Older,2009-10,Rhode Island,0.107986,0.091594,0.126902
Marijuana Use in the Past Month,12 or Older,2009-10,South Carolina,0.059889,0.048895,0.073165
Marijuana Use in the Past Month,12 or Older,2009-10,South Dakota,0.049233,0.039298,0.061519
Marijuana Use in the Past Month,12 or Older,2009-10,Tennessee,0.046708,0.03783,0.057544
Marijuana Use in the Past Month,12 or Older,2009-10,Texas,0.053999,0.048441,0.060155
Marijuana Use in the Past Month,12 or Older,2009-10,Utah,0.031137,0.024296,0.039825
Marijuana Use in the Past Month,12 or Older,2009-10,Vermont,0.115745,0.098887,0.135047
Marijuana Use in the Past Month,12 or Older,2009-10,Virginia,0.058524,0.048361,0.070665
Marijuana Use in the Past Month,12 or Older,2009-10,Washington,0.088627,0.074613,0.104973
Marijuana Use in the Past Month,12 or Older,2009-10,West Virginia,0.059938,0.048958,0.073192
Marijuana Use in the Past Month,12 or Older,2009-10,Wisconsin,0.056749,0.046309,0.06937
Marijuana Use in the Past Month,12 or Older,2009-10,Wyoming,0.053705,0.04378,0.065725
Marijuana Use in the Past Month,12 or Older,2010-11,Alabama,0.051962,0.042605,0.063237
Marijuana Use in the Past Month,12 or Older,2010-11,Alaska,0.11429,0.096384,0.135026
Marijuana Use in the Past Month,12 or Older,2010-11,Arizona,0.070177,0.056879,0.0863
Marijuana Use in the Past Month,12 or Older,2010-11,Arkansas,0.050892,0.040861,0.063223
Marijuana Use in the Past Month,12 or Older,2010-11,California,0.086071,0.078465,0.094339
Marijuana Use in the Past Month,12 or Older,2010-11,Colorado,0.109815,0.093369,0.128745
Marijuana Use in the Past Month,12 or Older,2010-11,Connecticut,0.072485,0.060236,0.086994
Marijuana Use in the Past Month,12 or Older,2010-11,Delaware,0.070105,0.058898,0.083256
Marijuana Use in the Past Month,12 or Older,2010-11,District of Columbia,0.111473,0.094264,0.131368
Marijuana Use in the Past Month,12 or Older,2010-11,Florida,0.06364,0.056985,0.071013
Marijuana Use in the Past Month,12 or Older,2010-11,Georgia,0.049706,0.040376,0.061055
Marijuana Use in the Past Month,12 or Older,2010-11,Hawaii,0.069317,0.056743,0.084427
Marijuana Use in the Past Month,12 or Older,2010-11,Idaho,0.07134,0.058677,0.086484
Marijuana Use in the Past Month,12 or Older,2010-11,Illinois,0.068676,0.062245,0.075718
Marijuana Use in the Past Month,12 or Older,2010-11,Indiana,0.065211,0.053826,0.078803
Marijuana Use in the Past Month,12 or Older,2010-11,Iowa,0.051765,0.04229,0.063223
Marijuana Use in the Past Month,12 or Older,2010-11,Kansas,0.054406,0.044007,0.067089
Marijuana Use in the Past Month,12 or Older,2010-11,Kentucky,0.050806,0.041496,0.062068
Marijuana Use in the Past Month,12 or Older,2010-11,Louisiana,0.048425,0.039674,0.058989
Marijuana Use in the Past Month,12 or Older,2010-11,Maine,0.080466,0.067623,0.095498
Marijuana Use in the Past Month,12 or Older,2010-11,Maryland,0.055512,0.04555,0.0675
Marijuana Use in the Past Month,12 or Older,2010-11,Massachusetts,0.099609,0.085186,0.116164
Marijuana Use in the Past Month,12 or Older,2010-11,Michigan,0.086735,0.078944,0.095215
Marijuana Use in the Past Month,12 or Older,2010-11,Minnesota,0.064421,0.053629,0.077208
Marijuana Use in the Past Month,12 or Older,2010-11,Mississippi,0.059134,0.048739,0.071579
Marijuana Use in the Past Month,12 or Older,2010-11,Missouri,0.060412,0.04987,0.073011
Marijuana Use in the Past Month,12 or Older,2010-11,Montana,0.103221,0.088617,0.119914
Marijuana Use in the Past Month,12 or Older,2010-11,Nebraska,0.055691,0.045331,0.06825
Marijuana Use in the Past Month,12 or Older,2010-11,Nevada,0.076406,0.061558,0.094474
Marijuana Use in the Past Month,12 or Older,2010-11,New Hampshire,0.08661,0.073393,0.101945
Marijuana Use in the Past Month,12 or Older,2010-11,New Jersey,0.064023,0.053585,0.07633
Marijuana Use in the Past Month,12 or Older,2010-11,New Mexico,0.082886,0.069506,0.098569
Marijuana Use in the Past Month,12 or Older,2010-11,New York,0.073987,0.067184,0.081418
Marijuana Use in the Past Month,12 or Older,2010-11,North Carolina,0.073449,0.061053,0.088126
Marijuana Use in the Past Month,12 or Older,2010-11,North Dakota,0.045384,0.036453,0.056375
Marijuana Use in the Past Month,12 or Older,2010-11,Ohio,0.064666,0.058403,0.07155
Marijuana Use in the Past Month,12 or Older,2010-11,Oklahoma,0.06576,0.053483,0.080613
Marijuana Use in the Past Month,12 or Older,2010-11,Oregon,0.109751,0.093082,0.128981
Marijuana Use in the Past Month,12 or Older,2010-11,Pennsylvania,0.061229,0.055075,0.068021
Marijuana Use in the Past Month,12 or Older,2010-11,Rhode Island,0.119311,0.102453,0.138514
Marijuana Use in the Past Month,12 or Older,2010-11,South Carolina,0.059356,0.048972,0.071776
Marijuana Use in the Past Month,12 or Older,2010-11,South Dakota,0.05048,0.040016,0.063499
Marijuana Use in the Past Month,12 or Older,2010-11,Tennessee,0.054368,0.044421,0.066389
Marijuana Use in the Past Month,12 or Older,2010-11,Texas,0.054691,0.048954,0.061058
Marijuana Use in the Past Month,12 or Older,2010-11,Utah,0.03556,0.027762,0.045447
Marijuana Use in the Past Month,12 or Older,2010-11,Vermont,0.131186,0.113567,0.151074
Marijuana Use in the Past Month,12 or Older,2010-11,Virginia,0.059273,0.048857,0.071743
Marijuana Use in the Past Month,12 or Older,2010-11,Washington,0.098846,0.084371,0.115491
Marijuana Use in the Past Month,12 or Older,2010-11,West Virginia,0.059847,0.049446,0.072271
Marijuana Use in the Past Month,12 or Older,2010-11,Wisconsin,0.057626,0.046467,0.071263
Marijuana Use in the Past Month,12 or Older,2010-11,Wyoming,0.051292,0.041294,0.063551
Marijuana Use in the Past Month,12 or Older,2011-12,Alabama,0.050742,0.041837,0.061421
Marijuana Use in the Past Month,12 or Older,2011-12,Alaska,0.129651,0.110869,0.151073
Marijuana Use in the Past Month,12 or Older,2011-12,Arizona,0.072154,0.058775,0.088292
Marijuana Use in the Past Month,12 or Older,2011-12,Arkansas,0.052963,0.042834,0.065325
Marijuana Use in the Past Month,12 or Older,2011-12,California,0.090799,0.082732,0.099567
Marijuana Use in the Past Month,12 or Older,2011-12,Colorado,0.104083,0.088125,0.122542
Marijuana Use in the Past Month,12 or Older,2011-12,Connecticut,0.084353,0.070572,0.100534
Marijuana Use in the Past Month,12 or Older,2011-12,Delaware,0.074883,0.062909,0.08892
Marijuana Use in the Past Month,12 or Older,2011-12,District of Columbia,0.104507,0.089253,0.122019
Marijuana Use in the Past Month,12 or Older,2011-12,Florida,0.066485,0.059541,0.074174
Marijuana Use in the Past Month,12 or Older,2011-12,Georgia,0.059603,0.049294,0.071906
Marijuana Use in the Past Month,12 or Older,2011-12,Hawaii,0.075729,0.062573,0.091381
Marijuana Use in the Past Month,12 or Older,2011-12,Idaho,0.052906,0.042591,0.065548
Marijuana Use in the Past Month,12 or Older,2011-12,Illinois,0.070295,0.063417,0.077856
Marijuana Use in the Past Month,12 or Older,2011-12,Indiana,0.061999,0.050695,0.075623
Marijuana Use in the Past Month,12 or Older,2011-12,Iowa,0.060999,0.050103,0.074081
Marijuana Use in the Past Month,12 or Older,2011-12,Kansas,0.04061,0.031863,0.051629
Marijuana Use in the Past Month,12 or Older,2011-12,Kentucky,0.056306,0.046594,0.067898
Marijuana Use in the Past Month,12 or Older,2011-12,Louisiana,0.046157,0.038248,0.055607
Marijuana Use in the Past Month,12 or Older,2011-12,Maine,0.083769,0.069593,0.100519
Marijuana Use in the Past Month,12 or Older,2011-12,Maryland,0.058147,0.047869,0.07047
Marijuana Use in the Past Month,12 or Older,2011-12,Massachusetts,0.093657,0.079493,0.110044
Marijuana Use in the Past Month,12 or Older,2011-12,Michigan,0.088871,0.081344,0.09702
Marijuana Use in the Past Month,12 or Older,2011-12,Minnesota,0.062962,0.0515,0.076767
Marijuana Use in the Past Month,12 or Older,2011-12,Mississippi,0.057967,0.047795,0.070144
Marijuana Use in the Past Month,12 or Older,2011-12,Missouri,0.05944,0.04865,0.072442
Marijuana Use in the Past Month,12 or Older,2011-12,Montana,0.104533,0.08914,0.122228
Marijuana Use in the Past Month,12 or Older,2011-12,Nebraska,0.055061,0.045083,0.067093
Marijuana Use in the Past Month,12 or Older,2011-12,Nevada,0.083618,0.067165,0.103654
Marijuana Use in the Past Month,12 or Older,2011-12,New Hampshire,0.083703,0.070987,0.098455
Marijuana Use in the Past Month,12 or Older,2011-12,New Jersey,0.060468,0.049069,0.074309
Marijuana Use in the Past Month,12 or Older,2011-12,New Mexico,0.0914,0.076597,0.108727
Marijuana Use in the Past Month,12 or Older,2011-12,New York,0.082427,0.074385,0.091253
Marijuana Use in the Past Month,12 or Older,2011-12,North Carolina,0.064935,0.053673,0.078365
Marijuana Use in the Past Month,12 or Older,2011-12,North Dakota,0.051471,0.041626,0.06349
Marijuana Use in the Past Month,12 or Older,2011-12,Ohio,0.073659,0.066649,0.081342
Marijuana Use in the Past Month,12 or Older,2011-12,Oklahoma,0.060441,0.049026,0.074305
Marijuana Use in the Past Month,12 or Older,2011-12,Oregon,0.121589,0.103624,0.142173
Marijuana Use in the Past Month,12 or Older,2011-12,Pennsylvania,0.061802,0.055314,0.068995
Marijuana Use in the Past Month,12 or Older,2011-12,Rhode Island,0.129971,0.111872,0.150501
Marijuana Use in the Past Month,12 or Older,2011-12,South Carolina,0.072033,0.059828,0.086499
Marijuana Use in the Past Month,12 or Older,2011-12,South Dakota,0.057865,0.046905,0.071194
Marijuana Use in the Past Month,12 or Older,2011-12,Tennessee,0.054056,0.044129,0.066062
Marijuana Use in the Past Month,12 or Older,2011-12,Texas,0.05109,0.045818,0.056933
Marijuana Use in the Past Month,12 or Older,2011-12,Utah,0.044101,0.035092,0.055289
Marijuana Use in the Past Month,12 or Older,2011-12,Vermont,0.128641,0.1114,0.148106
Marijuana Use in the Past Month,12 or Older,2011-12,Virginia,0.055384,0.045443,0.067344
Marijuana Use in the Past Month,12 or Older,2011-12,Washington,0.102099,0.086991,0.119488
Marijuana Use in the Past Month,12 or Older,2011-12,West Virginia,0.052669,0.043266,0.063978
Marijuana Use in the Past Month,12 or Older,2011-12,Wisconsin,0.066948,0.054792,0.081567
Marijuana Use in the Past Month,12 or Older,2011-12,Wyoming,0.056809,0.045864,0.070175
Marijuana Use in the Past Month,12 or Older,2012-13,Alabama,0.049455,0.039795,0.061311
Marijuana Use in the Past Month,12 or Older,2012-13,Alaska,0.118923,0.100165,0.140643
Marijuana Use in the Past Month,12 or Older,2012-13,Arizona,0.078816,0.064563,0.095892
Marijuana Use in the Past Month,12 or Older,2012-13,Arkansas,0.056923,0.045384,0.071178
Marijuana Use in the Past Month,12 or Older,2012-13,California,0.089379,0.081119,0.098389
Marijuana Use in the Past Month,12 or Older,2012-13,Colorado,0.126995,0.108619,0.147964
Marijuana Use in the Past Month,12 or Older,2012-13,Connecticut,0.089514,0.075129,0.106337
Marijuana Use in the Past Month,12 or Older,2012-13,Delaware,0.079714,0.06695,0.094666
Marijuana Use in the Past Month,12 or Older,2012-13,District of Columbia,0.120111,0.102608,0.140133
Marijuana Use in the Past Month,12 or Older,2012-13,Florida,0.069957,0.062722,0.077956
Marijuana Use in the Past Month,12 or Older,2012-13,Georgia,0.077091,0.063076,0.093909
Marijuana Use in the Past Month,12 or Older,2012-13,Hawaii,0.086132,0.071265,0.103754
Marijuana Use in the Past Month,12 or Older,2012-13,Idaho,0.055319,0.044582,0.068457
Marijuana Use in the Past Month,12 or Older,2012-13,Illinois,0.069537,0.062676,0.077088
Marijuana Use in the Past Month,12 or Older,2012-13,Indiana,0.06275,0.051713,0.075953
Marijuana Use in the Past Month,12 or Older,2012-13,Iowa,0.059766,0.048455,0.073514
Marijuana Use in the Past Month,12 or Older,2012-13,Kansas,0.044066,0.035012,0.055327
Marijuana Use in the Past Month,12 or Older,2012-13,Kentucky,0.053474,0.044008,0.064838
Marijuana Use in the Past Month,12 or Older,2012-13,Louisiana,0.050685,0.040634,0.063058
Marijuana Use in the Past Month,12 or Older,2012-13,Maine,0.099473,0.083308,0.11837
Marijuana Use in the Past Month,12 or Older,2012-13,Maryland,0.069436,0.057508,0.083618
Marijuana Use in the Past Month,12 or Older,2012-13,Massachusetts,0.098988,0.083629,0.116808
Marijuana Use in the Past Month,12 or Older,2012-13,Michigan,0.097104,0.08865,0.10627
Marijuana Use in the Past Month,12 or Older,2012-13,Minnesota,0.06213,0.050449,0.076298
Marijuana Use in the Past Month,12 or Older,2012-13,Mississippi,0.051025,0.041531,0.062549
Marijuana Use in the Past Month,12 or Older,2012-13,Missouri,0.070961,0.05895,0.085197
Marijuana Use in the Past Month,12 or Older,2012-13,Montana,0.103301,0.086838,0.122465
Marijuana Use in the Past Month,12 or Older,2012-13,Nebraska,0.054677,0.0446,0.066871
Marijuana Use in the Past Month,12 or Older,2012-13,Nevada,0.079844,0.065266,0.097339
Marijuana Use in the Past Month,12 or Older,2012-13,New Hampshire,0.097872,0.083836,0.113965
Marijuana Use in the Past Month,12 or Older,2012-13,New Jersey,0.052103,0.04148,0.06526
Marijuana Use in the Past Month,12 or Older,2012-13,New Mexico,0.090421,0.074978,0.108671
Marijuana Use in the Past Month,12 or Older,2012-13,New York,0.082849,0.074893,0.091566
Marijuana Use in the Past Month,12 or Older,2012-13,North Carolina,0.06166,0.049892,0.075982
Marijuana Use in the Past Month,12 or Older,2012-13,North Dakota,0.051873,0.042258,0.063532
Marijuana Use in the Past Month,12 or Older,2012-13,Ohio,0.076023,0.068915,0.083797
Marijuana Use in the Past Month,12 or Older,2012-13,Oklahoma,0.055637,0.044172,0.069859
Marijuana Use in the Past Month,12 or Older,2012-13,Oregon,0.119179,0.100605,0.140646
Marijuana Use in the Past Month,12 or Older,2012-13,Pennsylvania,0.064573,0.058076,0.071741
Marijuana Use in the Past Month,12 or Older,2012-13,Rhode Island,0.140788,0.121308,0.162816
Marijuana Use in the Past Month,12 or Older,2012-13,South Carolina,0.068662,0.056073,0.083828
Marijuana Use in the Past Month,12 or Older,2012-13,South Dakota,0.050276,0.040248,0.062638
Marijuana Use in the Past Month,12 or Older,2012-13,Tennessee,0.05423,0.043726,0.06708
Marijuana Use in the Past Month,12 or Older,2012-13,Texas,0.053106,0.047278,0.059608
Marijuana Use in the Past Month,12 or Older,2012-13,Utah,0.05072,0.040527,0.063307
Marijuana Use in the Past Month,12 or Older,2012-13,Vermont,0.117588,0.100391,0.137282
Marijuana Use in the Past Month,12 or Older,2012-13,Virginia,0.062864,0.051182,0.076998
Marijuana Use in the Past Month,12 or Older,2012-13,Washington,0.122785,0.105838,0.142014
Marijuana Use in the Past Month,12 or Older,2012-13,West Virginia,0.050664,0.040927,0.062567
Marijuana Use in the Past Month,12 or Older,2012-13,Wisconsin,0.064898,0.053114,0.079078
Marijuana Use in the Past Month,12 or Older,2012-13,Wyoming,0.058249,0.046686,0.072459
Marijuana Use in the Past Month,12 or Older,2013-14,Alabama,0.055683,0.045086,0.068591
Marijuana Use in the Past Month,12 or Older,2013-14,Alaska,0.118542,0.101436,0.13809
Marijuana Use in the Past Month,12 or Older,2013-14,Arizona,0.087951,0.073447,0.104995
Marijuana Use in the Past Month,12 or Older,2013-14,Arkansas,0.067021,0.0554,0.08087
Marijuana Use in the Past Month,12 or Older,2013-14,California,0.092035,0.084589,0.100064
Marijuana Use in the Past Month,12 or Older,2013-14,Colorado,0.149266,0.130265,0.170495
Marijuana Use in the Past Month,12 or Older,2013-14,Connecticut,0.084977,0.0708,0.101683
Marijuana Use in the Past Month,12 or Older,2013-14,Delaware,0.082261,0.068975,0.097837
Marijuana Use in the Past Month,12 or Older,2013-14,District of Columbia,0.125989,0.108418,0.145941
Marijuana Use in the Past Month,12 or Older,2013-14,Florida,0.075825,0.068427,0.08395
Marijuana Use in the Past Month,12 or Older,2013-14,Georgia,0.077631,0.065017,0.092449
Marijuana Use in the Past Month,12 or Older,2013-14,Hawaii,0.079016,0.064538,0.096406
Marijuana Use in the Past Month,12 or Older,2013-14,Idaho,0.063413,0.052632,0.076226
Marijuana Use in the Past Month,12 or Older,2013-14,Illinois,0.076397,0.068946,0.08458
Marijuana Use in the Past Month,12 or Older,2013-14,Indiana,0.075267,0.06337,0.089184
Marijuana Use in the Past Month,12 or Older,2013-14,Iowa,0.050183,0.040246,0.062414
Marijuana Use in the Past Month,12 or Older,2013-14,Kansas,0.063378,0.05215,0.076826
Marijuana Use in the Past Month,12 or Older,2013-14,Kentucky,0.067482,0.055391,0.081984
Marijuana Use in the Past Month,12 or Older,2013-14,Louisiana,0.06114,0.050119,0.074396
Marijuana Use in the Past Month,12 or Older,2013-14,Maine,0.126692,0.108095,0.147958
Marijuana Use in the Past Month,12 or Older,2013-14,Maryland,0.085545,0.072168,0.101131
Marijuana Use in the Past Month,12 or Older,2013-14,Massachusetts,0.117471,0.1009,0.136352
Marijuana Use in the Past Month,12 or Older,2013-14,Michigan,0.101826,0.092915,0.111487
Marijuana Use in the Past Month,12 or Older,2013-14,Minnesota,0.072801,0.060749,0.087024
Marijuana Use in the Past Month,12 or Older,2013-14,Mississippi,0.058463,0.04818,0.070778
Marijuana Use in the Past Month,12 or Older,2013-14,Missouri,0.079779,0.066133,0.095952
Marijuana Use in the Past Month,12 or Older,2013-14,Montana,0.100356,0.084653,0.118594
Marijuana Use in the Past Month,12 or Older,2013-14,Nebraska,0.057856,0.047657,0.070077
Marijuana Use in the Past Month,12 or Older,2013-14,Nevada,0.077644,0.063825,0.094154
Marijuana Use in the Past Month,12 or Older,2013-14,New Hampshire,0.115051,0.099214,0.133042
Marijuana Use in the Past Month,12 or Older,2013-14,New Jersey,0.063006,0.052405,0.075581
Marijuana Use in the Past Month,12 or Older,2013-14,New Mexico,0.095566,0.079502,0.114474
Marijuana Use in the Past Month,12 or Older,2013-14,New York,0.08523,0.077343,0.09384
Marijuana Use in the Past Month,12 or Older,2013-14,North Carolina,0.067033,0.055436,0.080849
Marijuana Use in the Past Month,12 or Older,2013-14,North Dakota,0.057749,0.047838,0.069565
Marijuana Use in the Past Month,12 or Older,2013-14,Ohio,0.069292,0.062056,0.077301
Marijuana Use in the Past Month,12 or Older,2013-14,Oklahoma,0.062228,0.05048,0.076489
Marijuana Use in the Past Month,12 or Older,2013-14,Oregon,0.123831,0.106034,0.144133
Marijuana Use in the Past Month,12 or Older,2013-14,Pennsylvania,0.072811,0.06566,0.080674
Marijuana Use in the Past Month,12 or Older,2013-14,Rhode Island,0.127531,0.110185,0.147156
Marijuana Use in the Past Month,12 or Older,2013-14,South Carolina,0.065725,0.054065,0.079689
Marijuana Use in the Past Month,12 or Older,2013-14,South Dakota,0.048111,0.038932,0.059321
Marijuana Use in the Past Month,12 or Older,2013-14,Tennessee,0.055431,0.04511,0.067946
Marijuana Use in the Past Month,12 or Older,2013-14,Texas,0.059404,0.053433,0.065995
Marijuana Use in the Past Month,12 or Older,2013-14,Utah,0.055826,0.045338,0.068568
Marijuana Use in the Past Month,12 or Older,2013-14,Vermont,0.132388,0.114488,0.152604
Marijuana Use in the Past Month,12 or Older,2013-14,Virginia,0.068591,0.057653,0.081426
Marijuana Use in the Past Month,12 or Older,2013-14,Washington,0.127916,0.110311,0.147863
Marijuana Use in the Past Month,12 or Older,2013-14,West Virginia,0.063033,0.051888,0.07638
Marijuana Use in the Past Month,12 or Older,2013-14,Wisconsin,0.064597,0.052975,0.078557
Marijuana Use in the Past Month,12 or Older,2013-14,Wyoming,0.063163,0.051696,0.076968
Marijuana Use in the Past Month,12 or Older,2014-15,Alabama,0.053491,0.044087,0.064764
